,sample,property,metal_x,metal_y,nx,ny,Sx,Sy,dx,dy,IEx,IEy,Xx,Xy,Rx,Ry
0,WFe,1.6016418,W,Fe,6,8,6,4,4,6,7.864,7.9024,1.7,1.8,1.93,1.56
1,WCo,1.6533443,W,Co,6,9,6,4,4,7,7.864,7.881,1.7,1.9,1.93,1.52
2,WIr,1.682989,W,Ir,6,9,6,6,4,7,7.864,8.967,1.7,2.2,1.93,1.8
3,WRh,1.6831629,W,Rh,6,9,6,5,4,8,7.864,7.4589,1.7,2.2,1.93,1.73
4,WNi,1.6682832,W,Ni,6,10,6,4,4,8,7.864,7.64,1.7,1.9,1.93,1.49
5,WPd,1.6535068,W,Pd,6,10,6,5,4,10,7.864,8.3369,1.7,2.2,1.93,1.69
6,WPt,1.6407418,W,Pt,6,10,6,6,4,9,7.864,9,1.7,2.2,1.93,1.77
7,MoFe,1.2813896,Mo,Fe,6,8,5,4,5,6,7.0924,7.9024,1.8,1.8,1.9,1.56
8,MoCo,1.2848882,Mo,Co,6,9,5,4,5,7,7.0924,7.881,1.8,1.9,1.9,1.52
9,MoIr,1.3970082,Mo,Ir,6,9,5,6,5,7,7.0924,8.967,1.8,2.2,1.9,1.8
10,MoRh,1.3821032,Mo,Rh,6,9,5,5,5,8,7.0924,7.4589,1.8,2.2,1.9,1.73
11,MoNi,1.3066582,Mo,Ni,6,10,5,4,5,8,7.0924,7.64,1.8,1.9,1.9,1.49
12,MoPd,1.3156757,Mo,Pd,6,10,5,5,5,10,7.0924,8.3369,1.8,2.2,1.9,1.69
13,MoPt,1.3209993,Mo,Pt,6,10,5,6,5,9,7.0924,9,1.8,2.2,1.9,1.77
14,VFe,1.1602579,V,Fe,5,8,4,4,3,6,6.7462,7.9024,1.6,1.8,1.71,1.56
15,VCo,1.0343693,V,Co,5,9,4,4,3,7,6.7462,7.881,1.6,1.9,1.71,1.52
16,VIr,1.1417793,V,Ir,5,9,4,6,3,7,6.7462,8.967,1.6,2.2,1.71,1.8
17,VRh,1.1547843,V,Rh,5,9,4,5,3,8,6.7462,7.4589,1.6,2.2,1.71,1.73
18,VNi,1.012629,V,Ni,5,10,4,4,3,8,6.7462,7.64,1.6,1.9,1.71,1.49
19,VPd,1.046379,V,Pd,5,10,4,5,3,10,6.7462,8.3369,1.6,2.2,1.71,1.69
20,VPt,1.1057415,V,Pt,5,10,4,6,3,9,6.7462,9,1.6,2.2,1.71,1.77
21,ReFe,0.9171091,Re,Fe,7,8,6,4,5,6,7.8335,7.9024,1.9,1.8,1.88,1.56
22,ReCo,0.9246466,Re,Co,7,9,6,4,5,7,7.8335,7.881,1.9,1.9,1.88,1.52
23,ReIr,0.9711891,Re,Ir,7,9,6,6,5,7,7.8335,8.967,1.9,2.2,1.88,1.8
24,ReRh,0.98182435,Re,Rh,7,9,6,5,5,8,7.8335,7.4589,1.9,2.2,1.88,1.73
25,ReNi,1.01987435,Re,Ni,7,10,6,4,5,8,7.8335,7.64,1.9,1.9,1.88,1.49
26,RePd,1.09658935,Re,Pd,7,10,6,5,5,10,7.8335,8.3369,1.9,2.2,1.88,1.69
27,RePt,1.10139935,Re,Pt,7,10,6,6,5,9,7.8335,9,1.9,2.2,1.88,1.77
28,CrFe,0.64033985,Cr,Fe,6,8,4,4,5,6,6.7665,7.9024,1.6,1.8,1.66,1.56
29,CrCo,0.6015317,Cr,Co,6,9,4,4,5,7,6.7665,7.881,1.6,1.9,1.66,1.52
30,CrIr,0.5461277,Cr,Ir,6,9,4,6,5,7,6.7665,8.967,1.6,2.2,1.66,1.8
31,CrRh,0.5128317,Cr,Rh,6,9,4,5,5,8,6.7665,7.4589,1.6,2.2,1.66,1.73
32,CrNi,0.6230436,Cr,Ni,6,10,4,4,5,8,6.7665,7.64,1.6,1.9,1.66,1.49
33,CrPd,0.6305586,Cr,Pd,6,10,4,5,5,10,6.7665,8.3369,1.6,2.2,1.66,1.69
34,CrPt,0.59592745,Cr,Pt,6,10,4,6,5,9,6.7665,9,1.6,2.2,1.66,1.77
35,MnFe,0.6424866,Mn,Fe,7,8,4,4,5,6,7.434,7.9024,1.5,1.8,1.61,1.56
36,MnCo,0.62316295,Mn,Co,7,9,4,4,5,7,7.434,7.881,1.5,1.9,1.61,1.52
37,MnIr,0.5749953,Mn,Ir,7,9,4,6,5,7,7.434,8.967,1.5,2.2,1.61,1.8
38,MnRh,0.61130545,Mn,Rh,7,9,4,5,5,8,7.434,7.4589,1.5,2.2,1.61,1.73
39,MnNi,0.63472795,Mn,Ni,7,10,4,4,5,8,7.434,7.64,1.5,1.9,1.61,1.49
40,MnPd,0.64706645,Mn,Pd,7,10,4,5,5,10,7.434,8.3369,1.5,2.2,1.61,1.69
41,MnPt,0.63346645,Mn,Pt,7,10,4,6,5,9,7.434,9,1.5,2.2,1.61,1.77
42,OsFe,0.82191745,Os,Fe,8,8,6,4,6,6,8.4382,7.9024,2.2,1.8,1.85,1.56
43,OsCo,0.89014745,Os,Co,8,9,6,4,6,7,8.4382,7.881,2.2,1.9,1.85,1.52
44,OsIr,0.78937745,Os,Ir,8,9,6,6,6,7,8.4382,8.967,2.2,2.2,1.85,1.8
45,OsRh,0.83663745,Os,Rh,8,9,6,5,6,8,8.4382,7.4589,2.2,2.2,1.85,1.73
46,OsNi,0.90137245,Os,Ni,8,10,6,4,6,8,8.4382,7.64,2.2,1.9,1.85,1.49
47,OsPd,0.9050254,Os,Pd,8,10,6,5,6,10,8.4382,8.3369,2.2,2.2,1.85,1.69
48,OsPt,0.858782067,Os,Pt,8,10,6,6,6,9,8.4382,9,2.2,2.2,1.85,1.77
49,RuFe,0.77127745,Ru,Fe,8,8,5,4,7,6,7.3605,7.9024,2.2,1.8,1.78,1.56
50,RuCo,0.76407245,Ru,Co,8,9,5,4,7,7,7.3605,7.881,2.2,1.9,1.78,1.52
51,RuIr,0.71878245,Ru,Ir,8,9,5,6,7,7,7.3605,8.967,2.2,2.2,1.78,1.8
52,RuRh,0.73977495,Ru,Rh,8,9,5,5,7,8,7.3605,7.4589,2.2,2.2,1.78,1.73
53,RuNi,0.78138995,Ru,Ni,8,10,5,4,7,8,7.3605,7.64,2.2,1.9,1.78,1.49
54,RuPd,0.78123245,Ru,Pd,8,10,5,5,7,10,7.3605,8.3369,2.2,2.2,1.78,1.69
55,RuPt,0.76946745,Ru,Pt,8,10,5,6,7,9,7.3605,9,2.2,2.2,1.78,1.77
