name,H,DeltaT,L,lambda,T0,Up,Ut
hydrogen,2.307,101.43,16.965,0.14765,300,-0.65155,1.3023
hydrogen,2.9246,102.93,15.289,0.14803,300,-0.79307,1.5835
hydrogen,3.0051,138.69,24.136,0.15697,300,-0.67739,1.3547
hydrogen,2.6875,122.57,23.565,0.15292,300,-0.58997,1.1797
hydrogen,3.7812,139.26,12.084,0.15716,300,-1.4838,2.9798
hydrogen,2.9573,104.27,20.66,0.14836,300,-0.58648,1.1723
hydrogen,3.8345,106.1,15.735,0.14882,300,-0.84501,1.6932
hydrogen,3.9961,111.12,21.419,0.15007,300,-0.64855,1.2993
hydrogen,3.3812,106.77,12.55,0.149,300,-1.0511,2.1045
hydrogen,2.2835,111.46,13.032,0.15016,300,-0.95241,1.8968
hydrogen,2.7724,107.75,11.51,0.14925,300,-1.1071,2.2148
hydrogen,3.4982,125.52,10.899,0.15372,300,-1.4567,2.9222
hydrogen,2.4438,114.62,20.081,0.15094,300,-0.63308,1.2622
hydrogen,3.207,142.95,10,0.15812,300,-1.7959,3.6016
hydrogen,2.8144,124.49,17.76,0.15341,300,-0.81809,1.6348
hydrogen,2.1769,148.44,19.149,0.15943,300,-0.83959,1.6757
hydrogen,2.2102,120.16,16.475,0.15233,300,-0.79327,1.5814
hydrogen,2.6343,109.14,24.533,0.14957,300,-0.49802,0.99519
hydrogen,3.6452,146.25,22.001,0.15888,300,-0.8283,1.6606
hydrogen,2.5767,137.08,18.076,0.15658,300,-0.86589,1.7305
hydrogen,2.8839,133.41,12.885,0.15567,300,-1.2449,2.4885
hydrogen,3.1332,143.77,18.677,0.15826,300,-0.93212,1.8618
hydrogen,3.6809,128.14,18.604,0.15433,300,-0.85925,1.7212
hydrogen,3.4135,113.03,17.387,0.15055,300,-0.79342,1.5878
hydrogen,3.1793,129.88,21.108,0.15476,300,-0.73701,1.4749
hydrogen,2.1093,131.01,20.256,0.15504,300,-0.68612,1.3699
hydrogen,3.2583,116.04,21.714,0.1513,300,-0.63897,1.2786
hydrogen,2.5049,147.42,10.41,0.15924,300,-1.6672,3.333
hydrogen,3.7443,119.89,14.243,0.15228,300,-1.0627,2.1306
hydrogen,2.452,126.31,11.382,0.1539,300,-1.2805,2.5573
hydrogen,2.714,149.64,14.507,0.15976,300,-1.2213,2.4359
hydrogen,3.5057,121.52,24.672,0.15266,300,-0.59848,1.197
hydrogen,3.8569,132.41,22.573,0.15539,300,-0.73546,1.4722
hydrogen,2.3984,140.72,23.474,0.15748,300,-0.66175,1.3227
hydrogen,3.3375,136.12,15.156,0.15635,300,-1.1119,2.2247
hydrogen,3.0707,117.49,14.109,0.15167,300,-1.0036,2.0083
hydrogen,2.0209,134.69,13.704,0.15598,300,-1.0571,2.1012
hydrogen,3.9033,141.66,16.007,0.15774,300,-1.1342,2.2748
hydrogen,3.5789,100.9,19.505,0.14752,300,-0.63013,1.2616
hydrogen,2.0651,118.49,23.091,0.1519,300,-0.53554,1.0673
