name,H,DeltaT,L,lambda,T0,Up,Ut
nitrogen,2.307,101.43,19.644,0.079592,300,-0.09452,0.18868
nitrogen,2.9246,102.93,18.526,0.079804,300,-0.1066,0.21303
nitrogen,3.0051,138.69,24.424,0.08486,300,-0.11088,0.22183
nitrogen,2.6875,122.57,24.043,0.082575,300,-0.096646,0.19312
nitrogen,3.7812,139.26,16.39,0.08495,300,-0.17499,0.35061
nitrogen,2.9573,104.27,22.107,0.079992,300,-0.090036,0.17989
nitrogen,3.8345,106.1,18.823,0.080251,300,-0.11253,0.22547
nitrogen,3.9961,111.12,22.613,0.08096,300,-0.098273,0.19685
nitrogen,3.3812,106.77,16.7,0.080348,300,-0.12634,0.25294
nitrogen,2.2835,111.46,17.021,0.081009,300,-0.12137,0.2422
nitrogen,2.7724,107.75,16.007,0.080484,300,-0.12937,0.25865
nitrogen,3.4982,125.52,15.599,0.082998,300,-0.16281,0.32579
nitrogen,2.4438,114.62,21.721,0.081451,300,-0.098069,0.19597
nitrogen,3.207,142.95,15,0.085474,300,-0.19309,0.38649
nitrogen,2.8144,124.49,20.174,0.082848,300,-0.11896,0.2378
nitrogen,2.1769,148.44,21.099,0.086245,300,-0.13065,0.26095
nitrogen,2.2102,120.16,19.316,0.082238,300,-0.11428,0.22833
nitrogen,2.6343,109.14,24.688,0.080677,300,-0.082592,0.16507
nitrogen,3.6452,146.25,23.001,0.085935,300,-0.12889,0.25824
nitrogen,2.5767,137.08,20.384,0.084632,300,-0.12861,0.25697
nitrogen,2.8839,133.41,16.923,0.084115,300,-0.15484,0.30973
nitrogen,3.1332,143.77,20.784,0.085583,300,-0.13756,0.27499
nitrogen,3.6809,128.14,20.736,0.083368,300,-0.12445,0.249
nitrogen,3.4135,113.03,19.925,0.081231,300,-0.1118,0.22385
nitrogen,3.1793,129.88,22.405,0.083611,300,-0.11393,0.22796
nitrogen,2.1093,131.01,21.837,0.083773,300,-0.10934,0.21821
nitrogen,3.2583,116.04,22.809,0.081656,300,-0.099171,0.19861
nitrogen,2.5049,147.42,15.273,0.086109,300,-0.18753,0.37491
nitrogen,3.7443,119.89,17.829,0.082203,300,-0.13551,0.27179
nitrogen,2.452,126.31,15.921,0.083111,300,-0.15097,0.30186
nitrogen,2.714,149.64,18.005,0.086423,300,-0.16284,0.32547
nitrogen,3.5057,121.52,24.781,0.082427,300,-0.096742,0.19379
nitrogen,3.8569,132.41,23.382,0.083972,300,-0.11438,0.22932
nitrogen,2.3984,140.72,23.982,0.085148,300,-0.11021,0.22002
nitrogen,3.3375,136.12,18.437,0.084499,300,-0.14821,0.29653
nitrogen,3.0707,117.49,17.74,0.081861,300,-0.12951,0.25932
nitrogen,2.0209,134.69,17.47,0.084292,300,-0.14135,0.28129
nitrogen,3.9033,141.66,19.005,0.085286,300,-0.15329,0.30716
nitrogen,3.5789,100.9,21.337,0.079518,300,-0.092576,0.18554
nitrogen,2.0651,118.49,23.727,0.081997,300,-0.089633,0.17873
