,t,"R=0.1,L=1.0,C=1.0,I0=0.1,V0=0.3 ","R=0.5,L=0.25,C=0.3,I0=0.05,V0=0.6 ","R=0.7,L=0.1,C=0.1,I0=0.02,V0=0.9 ","R=0.07,L=0.2,C=0.2,I0=0.07,V0=1.0 ","R=0.2,L=0.1,C=1.0,I0=0.05,V0=0.4 ","R=0.12,L=0.3,C=0.7,I0=0.08,V0=0.6 ","R=0.6,L=0.6,C=0.6,I0=0.09,V0=0.2 ","R=0.2,L=0.4,C=0.3,I0=0.1,V0=0.3 "
0,0.0,0.09999999999999998,0.04999999999999905,0.019999999999996687,0.06999999999999788,0.04999999999999592,0.08000000000000006,0.08999999999999996,0.10000000000000017
1,0.025,0.09222926334158131,-0.01108334933893441,-0.18803465987781243,-0.0552836847370949,-0.050029169458028724,0.02935960213398342,0.07947341999266047,0.07988250677330876
2,0.05,0.08442036096443847,-0.06909760089890284,-0.35194552127323214,-0.17861699913507542,-0.14487502364288748,-0.020863838114971518,0.06907049759768176,0.05960163130305204
3,0.07500000000000001,0.0765782623781878,-0.12372119897648284,-0.4694670513206216,-0.2981007548760184,-0.23421244603812158,-0.0705257767911104,0.0588060138582748,0.03926432972045589
4,0.1,0.06870794540482723,-0.17467581187865147,-0.5413434300282535,-0.4119121180773934,-0.31776573993462054,-0.1194847705704452,0.048694147541274845,0.018976521456451085
5,0.125,0.06081439305088938,-0.22172648469178918,-0.5708029147810467,-0.5183322647348684,-0.39530789805890976,-0.16760286466954072,0.038748465700151107,-0.0011574458724500933
6,0.15000000000000002,0.052902590384169654,-0.2646814322597412,-0.5629749028349162,-0.6157721792763559,-0.46665961115016824,-0.2147459665662819,0.028981915519702153,-0.021035316798932384
7,0.17500000000000002,0.04497752141696531,-0.30339149159974227,-0.5242921413651169,-0.7027962115825538,-0.5316880342584862,-0.26078420456735446,0.019406817424773057,-0.040557431051863976
8,0.2,0.037044165997755535,-0.33774925481352625,-0.4619145668192704,-0.7781430460059701,-0.5903053300975665,-0.3055922703116268,0.010034859433599325,-0.05962720692764309
9,0.225,0.029107496713242385,-0.36768790511923055,-0.3832041647245833,-0.8407437791475368,-0.6424670092006135,-0.3490497443552564,0.0008770927347282558,-0.07815160272951553
10,0.25,0.02117247580265856,-0.39317977993772973,-0.2952726124043252,-0.8897368507117492,-0.6881700869031161,-0.39104140404291715,-0.008056071535110116,-0.09604155415997302
11,0.275,0.013244052086239622,-0.4142346860168543,-0.2046158217905403,-0.9244796228811449,-0.7274510773157569,-0.4314575129299206,-0.016754864336310085,-0.11321238570202208
12,0.30000000000000004,0.005327157909740354,-0.430897992372634,-0.11684227641684898,-0.944556457503615,-0.7603838444605475,-0.470194091081927,-0.02521015962042461,-0.12958419418409076
13,0.325,-0.0025732938931355594,-0.44324852737418985,-0.03649559995946157,-0.9497831961110278,-0.787077330629775,-0.5071531656422614,-0.033413474099820185,-0.14508220288967164
14,0.35000000000000003,-0.010452413018542932,-0.4513963066058299,0.033033651387834276,-0.9402080045028585,-0.8076731817971082,-0.5422430011213459,-0.04135696592110635,-0.15963708474555724
15,0.375,-0.018305334688704523,-0.4554801182155348,0.08951626569694336,-0.9161086004441646,-0.8223432895704175,-0.5753783089282066,-0.04903343227168242,-0.17318525330070744
16,0.4,-0.02612722262470561,-0.45566499231400004,0.1318250814836644,-0.8779859390597299,-0.8312872687338569,-0.606480435730263,-0.05643630594984328,-0.18566912039043293
17,0.42500000000000004,-0.033913271994078245,-0.4521395806346884,0.15982235332276462,-0.8265544848917942,-0.8347298888902654,-0.635477530294395,-0.06355965092991699,-0.19703731956666679
18,0.45,-0.04165871233139629,-0.44511347211597546,0.17420876489681866,-0.7627292514968642,-0.8329184780918271,-0.662304688529454,-0.07039815695484673,-0.20724489456362927
19,0.47500000000000003,-0.049358810430127326,-0.43481446933545675,0.17634885884706072,-0.6876098381027723,-0.826120315645193,-0.6869040765176933,-0.07694713318950304,-0.21625345225816478
20,0.5,-0.05700887320400736,-0.42148584982862347,0.1680866268363367,-0.6024617375030676,-0.8146200305050655,-0.7092250313898877,-0.0832025009687939,-0.22403127977443787
21,0.525,-0.06460425051622794,-0.4053836352748238,0.15156335807713736,-0.5086952293729008,-0.7987170208356541,-0.7292241399659475,-0.08916078567535794,-0.23055342557253475
22,0.55,-0.07214033797475156,-0.38677389034864146,0.12904777346770202,-0.4078422079677881,-0.7787229094306352,-0.7468652951494338,-0.09481910778225251,-0.23580174454884154
23,0.5750000000000001,-0.07961257969209325,-0.3659300717307422,0.10278616193392721,-0.3015313222191801,-0.7549590487472703,-0.7621197301303722,-0.10017517309661148,-0.23976490736192013
