,t,"c=0.1,k=1.0,m=1.0,d0=0.1","c=0.5,k=0.25,m=3,d0=0.05","c=0.12,k=0.3,m=0.7,d0=0.08","c=0.07,k=0.2,m=5,d0=0.07","c=0.2,k=0.1,m=0.5,d0=0.05","c=0.12,k=0.3,m=2,d0=0.08","c=0.6,k=0.6,m=2,d0=0.09","c=0.2,k=0.4,m=3,d0=0.1"
0,0.0,0.1,0.05000000000000001,0.08,0.07,0.05000000000000001,0.08,0.09,0.1
1,0.025,0.09996877765134249,0.049998699728875495,0.07998930124276928,0.06999912510389707,0.04999688542309907,0.07999625190357632,0.08999158368569882,0.09999583567609979
2,0.05,0.09987523406065985,0.04999480619428966,0.07995726885748393,0.06999650084568218,0.049987583435006616,0.07998501545693883,0.08996642021579489,0.0999833522987711
3,0.07500000000000001,0.09971958322514844,0.049988330381392665,0.07990400263988941,0.06999212790311979,0.049972156758434715,0.07996630293681169,0.08992463942454504,0.09996256476096295
4,0.1,0.09950207737420776,0.04997928336387174,0.07982960763428681,0.06998600699744652,0.049950668253756936,0.07994012730186872,0.08986637328013601,0.09993348862225569
5,0.125,0.09922300671654105,0.04996767630300744,0.07973419408301131,0.06997813889333797,0.04992318090982031,0.07990650219049747,0.0897917558440888,0.09989614010645528
6,0.15000000000000002,0.09888269916418121,0.04995352044672939,0.07961787737473705,0.06996852439887435,0.04988975783483268,0.07986544191850252,0.08970092323057513,0.09985053609913637
7,0.17500000000000002,0.09848152003367178,0.0499368271286713,0.07948077799162781,0.06995716436550514,0.04985046224732594,0.07981696147674934,0.08959401356565475,0.09979669414513428
8,0.2,0.09801987172464659,0.04991760776722563,0.07932302145535228,0.06994405968801261,0.04980535746719541,0.07976107652874788,0.08947116694644129,0.0997346324459863
9,0.225,0.09749819337606536,0.049895873864597685,0.07914473827198308,0.06992921130447427,0.04975450690681579,0.07969780340817713,0.08933252540020513,0.09966436985732266
10,0.25,0.09691696050037528,0.049871637005859205,0.0789460638757995,0.06991262019622431,0.049697974062234064,0.07962715911635049,0.08917823284342132,0.09958592588620724
11,0.275,0.0962766845958822,0.049844908858001816,0.07872713857201306,0.06989428738781392,0.04963582250443948,0.07954916131962236,0.08900843504077047,0.09949932068842843
12,0.30000000000000004,0.0955779127376278,0.0498157011689899,0.07848810747843636,0.06987421394697055,0.04956811587071129,0.07946382834673645,0.08882327956410098,0.09940457506574082
13,0.325,0.09482122714708181,0.04978402576681339,0.07822912046611495,0.06985240098455611,0.0494949178560441,0.0793711791861158,0.08862291575136012,0.09930171046305722
14,0.35000000000000003,0.0940072447409707,0.04974989455854021,0.07795033209894266,0.06982884965452414,0.04941629220465159,0.0792712334830953,0.0884074946655021,0.09919074896559221
15,0.375,0.09313661665957639,0.04971331952936866,0.07765190157228088,0.06980356115387581,0.0493323027015484,0.07916401153709662,0.0881771690533811,0.0990717132959569
16,0.4,0.09221002777485116,0.04967431274167955,0.07733399265060256,0.06977653672261505,0.04924301316421099,0.07904953429874623,0.08793209330463672,0.09894462681120555
17,0.42500000000000004,0.09122819617870567,0.04963288633408841,0.07699677360418147,0.06974777764370238,0.04914848743431722,0.07892782336693671,0.08767242341057994,0.0988095134998342
18,0.45,0.0901918726518391,0.04958905252049757,0.07664041714484804,0.06971728524300796,0.04904878936956515,0.07879890098583164,0.08739831692308689,0.09866639797873192
19,0.47500000000000003,0.089101840113492,0.049542823589148285,0.07626510036083275,0.06968506088926327,0.048943982835571366,0.0786627900418147,0.08710993291350852,0.09851530549008448
20,0.5,0.08795891305251215,0.049494211901673,0.07587100465071851,0.069651105994012,0.04883413169784878,0.07851951406038304,0.08680743193160324,0.0983562618982315
21,0.525,0.08676393694013596,0.049443229892147646,0.07545831565652336,0.06961542201155982,0.048719299813864386,0.07836909720298549,0.08649097596450031,0.09818929368647672
22,0.55,0.08551778762489719,0.049389890066144214,0.07502722319593523,0.06957801043892291,0.048599551025176976,0.0782115642638059,0.08616072839570145,0.09801442795385219
23,0.5750000000000001,0.08422137071008531,0.04933420499978346,0.07457792119372043,0.06953887281577575,0.04847494914965509,0.07804694066649215,0.08581685396412783,0.09783169241183658
24,0.6000000000000001,0.0828756209141859,0.04927618733878793,0.0741106076123276,0.06949801072439768,0.048345557973775315,0.07787525246083087,0.08545951872322001,0.09764111538102789
25,0.625,0.08148150141474451,0.04921584979753533,0.07362548438170956,0.06945542578961832,0.04821144124500123,0.07769652631936867,0.0850888900000977,0.09744272578777109
26,0.65,0.08004000317610502,0.04915320515811219,0.07312275732838452,0.06941111967876228,0.04807266266424281,0.07751078953398013,0.0847051363547871,0.09723655316074081
27,0.675,0.0785521442614825,0.049088266269367985,0.07260263610375944,0.06936509410159235,0.04792928587839695,0.07731807001238271,0.08430842753952221,0.09702262762747971
28,0.7000000000000001,0.077018969129839,0.04902104604596978,0.0720653341117374,0.06931735081025218,0.04778137447296865,0.07711839627459934,0.08389893445812792,0.09680097991089258
29,0.7250000000000001,0.0754415479180389,0.04895155746745724,0.0715110684356319,0.06926789159920747,0.04762899196477346,0.07691179744936896,0.08347682912549108,0.09657164132569691
30,0.75,0.07382097570876898,0.04887981357729835,0.07094005976440985,0.06921671830518637,0.047472201794720906,0.07669830327050536,0.08304228462712727,0.09633464377482996
31,0.775,0.07215837178471547,0.0488058274819456,0.0703525323182868,0.06916383280711876,0.04731106732067935,0.07647794407320481,0.08259547507884937,0.09609001974581276
32,0.8,0.07045487886949811,0.04872961234989299,0.06974871377369604,0.06910923702607455,0.04714565181042206,0.07625075079030286,0.0821365755865451,0.09583780230707178
33,0.8250000000000001,0.06871166235586781,0.04865118141073351,0.06912883518765515,0.0690529329252009,0.04697601843465459,0.07601675494848091,0.08166576220607033,0.09557802510421802
34,0.8500000000000001,0.0669299095216818,0.04857054795421759,0.0684931309215523,0.06899492250965843,0.0468022302601239,0.07577598866442255,0.08118321190326445,0.09531072235628447
35,0.875,0.0651108287341759,0.04848772532931222,0.06784183856437533,0.06893520782655634,0.046624350242808615,0.07552848464092071,0.08068910251409452,0.09503592885192194
36,0.9,0.06325564864305984,0.04840272694326082,0.06717519885540639,0.06887379096488669,0.046442441221191046,0.07527427616293553,0.08018361270493475,0.09475367994555396
37,0.925,0.06136561736296758,0.04831556626064422,0.06649345560640536,0.06881067405545738,0.046256565909610754,0.07501339709360365,0.07966692193298767,0.09446401155349086
38,0.9500000000000001,0.059442001645798784,0.048226256802442344,0.06579685562330465,0.06874585927082436,0.046066786891699595,0.07474588187019936,0.07913921040685319,0.09416696015000348
39,0.9750000000000001,0.057486086043494054,0.04813481214509701,0.06508564862743872,0.06867934882522268,0.045873166613898446,0.07447176550004796,0.07860065904725211,0.0938625627633571
40,1.0,0.05549917206178986,0.04804124591957564,0.06436008717633133,0.06861114497449658,0.045675767379055356,0.07419108355639188,0.07805144944790987,0.09355085697180582
41,1.0250000000000001,0.053482577305504035,0.04794557181043609,0.06362042658406311,0.06854125001602845,0.04547465134010548,0.07390387217421009,0.07749176383660704,0.09323188089954776
