,R,L,C,U,w,phi0,U/I,phi0-phi1
0,0.5,0.07999999821186066,0.05000000074505806,9.0,9.0,0.0,1.5832480522095844,-1.2494913242151038
1,0.5,0.07999999821186066,0.05000000074505806,9.0,9.0,0.125,1.5832471579916467,-1.2494896311309351
2,0.5,0.07999999821186066,0.05000000074505806,9.0,9.0,0.25,1.5832476187179918,-1.2494937222829
3,0.5,0.07999999821186066,0.05000000074505806,9.0,9.0,0.375,1.5832509542450668,-1.2494449540859864
4,0.5,0.07999999821186066,0.05000000074505806,9.0,9.0,0.5,1.5832480522095846,-1.2494864841014892
5,0.5,0.07999999821186066,0.05000000074505806,9.0,9.5,0.0,1.4351773751836097,-1.214945116296278
6,0.5,0.07999999821186066,0.05000000074505806,9.0,9.5,0.125,1.435178223524519,-1.2149480765463903
7,0.5,0.07999999821186066,0.05000000074505806,9.0,9.5,0.25,1.4351769685465559,-1.2149443633658845
8,0.5,0.07999999821186066,0.05000000074505806,9.0,9.5,0.375,1.4351784323871244,-1.214890941520824
9,0.5,0.07999999821186066,0.05000000074505806,9.0,9.5,0.5,1.4351796927542986,-1.2149312631381917
10,0.5,0.07999999821186066,0.05000000074505806,9.0,10.0,0.0,1.300000226340255,-1.1760056417423508
11,0.5,0.07999999821186066,0.05000000074505806,9.0,10.0,0.125,1.300000138224307,-1.1760056186757555
12,0.5,0.07999999821186066,0.05000000074505806,9.0,10.0,0.25,1.3000000704615566,-1.1760056333412854
13,0.5,0.07999999821186066,0.05000000074505806,9.0,10.0,0.375,1.3000000230519988,-1.1760065271074103
14,0.5,0.07999999821186066,0.05000000074505806,9.0,10.0,0.5,1.3000017677752023,-1.1759922453168248
15,0.5,0.07999999821186066,0.05000000074505806,9.0,10.5,0.0,1.1763172681532938,-1.1317758967919742
16,0.5,0.07999999821186066,0.05000000074505806,9.0,10.5,0.125,1.1763163695689405,-1.1317750619665687
17,0.5,0.07999999821186066,0.05000000074505806,9.0,10.5,0.25,1.1763154046458166,-1.131772565557882
18,0.5,0.07999999821186066,0.05000000074505806,9.0,10.5,0.375,1.1763153932457533,-1.1317725561753176
19,0.5,0.07999999821186066,0.05000000074505806,9.0,10.5,0.5,1.1763160209369978,-1.1317636880267496
20,0.5,0.07999999821186066,0.05000000074505806,9.0,11.0,0.0,1.063101705610894,-1.0811409130684098
21,0.5,0.07999999821186066,0.05000000074505806,9.0,11.0,0.125,1.0631019522288057,-1.0811415623567007
22,0.5,0.07999999821186066,0.05000000074505806,9.0,11.0,0.25,1.0631020464369982,-1.0811423490591414
23,0.5,0.07999999821186066,0.05000000074505806,9.0,11.0,0.375,1.0631021361220994,-1.0811448103610246
24,0.5,0.07999999821186066,0.05000000074505806,9.0,11.0,0.5,1.0631026649862232,-1.0810477476912435
25,0.5,0.07999999821186066,0.05000000074505806,9.5,9.0,0.0,1.5832480522095846,-1.2494913242151031
26,0.5,0.07999999821186066,0.05000000074505806,9.5,9.0,0.125,1.5832471579916472,-1.2494896311309343
27,0.5,0.07999999821186066,0.05000000074505806,9.5,9.0,0.25,1.5832476187179922,-1.2494937222829017
28,0.5,0.07999999821186066,0.05000000074505806,9.5,9.0,0.375,1.5832509542450668,-1.2494449540859864
29,0.5,0.07999999821186066,0.05000000074505806,9.5,9.0,0.5,1.5832480522095846,-1.2494864841014892
30,0.5,0.07999999821186066,0.05000000074505806,9.5,9.5,0.0,1.4351773751836097,-1.2149451162962783
31,0.5,0.07999999821186066,0.05000000074505806,9.5,9.5,0.125,1.4351782235245192,-1.2149480765463903
32,0.5,0.07999999821186066,0.05000000074505806,9.5,9.5,0.25,1.4351769685465559,-1.2149443633658832
33,0.5,0.07999999821186066,0.05000000074505806,9.5,9.5,0.375,1.4351784323871244,-1.2148909415208182
